view_id,origin_type,source_id,source_path,source_sha256,available_at,view_kind,condition,unit,probability_space,target,physical_translation_status,approval_status,used_numerically,effective_strength,blocked_reason
registered:2026-07-10_nasdaq-ath-eoy-2026_r1,registered_forecast,2026-07-10_nasdaq-ath-eoy-2026_r1,forecasts/2026/2026-07-10_nasdaq-ath-eoy-2026_r1.md,1a7453559129fddb971c619f634bfc916b682859c88d43f7f65783a75eb0d4a3,2026-07-10T00:00:00+09:00,barrier_probability,max_close_through_classification_date > snapshot_ath,fraction,physical_event,0.62,not_required,auto_validated,True,0.17807752595227685,
registered:2026-07-20_nasdaq-corr10-augoct-2026_r2,registered_forecast,2026-07-20_nasdaq-corr10-augoct-2026_r2,forecasts/2026/2026-07-20_nasdaq-corr10-augoct-2026_r2.md,b98cc7bcbb582159f90dcb623c7900e841b6d56bd8e921fe9e69b314e3609ee1,2026-07-20T00:08:00+09:00,barrier_probability,min_close_2026-08-01_through_2026-10-31 <= snapshot_corr10,fraction,physical_event,0.57,not_required,auto_validated,True,0.18867262111629587,
registered:2026-07-10_nasdaq-eoy-above-jul9-2026_r1,registered_forecast,2026-07-10_nasdaq-eoy-above-jul9-2026_r1,forecasts/2026/2026-07-10_nasdaq-eoy-above-jul9-2026_r1.md,e6fe7af24ee427e44758e2ce80e5f48526b95985fddd1ffc2d1ff714b8b67496,2026-07-10T00:00:00+09:00,terminal_probability,classification_close > snapshot_reference_price,fraction,physical_event,0.63,not_required,auto_validated,True,0.17807752595227685,
registered:2026-07-20_nfp-jul2026-below100k_r1,registered_forecast,2026-07-20_nfp-jul2026-below100k_r1,forecasts/2026/2026-07-20_nfp-jul2026-below100k_r1.md,f1c2060813b3511721eb533f28dc38e5863257ef47d779282cbb850a6fe8b4a8,2026-07-20T00:05:00+09:00,event_probability,nfp-jul2026-below100k,fraction,physical_event,0.38,not_required,auto_validated,False,0.1886703506803844,valid event-state probability; excluded from price paths because no approved surprise-to-index-impact mapping exists
registered:2026-07-15_nvda-dc-beat-2026aug_r2,registered_forecast,2026-07-15_nvda-dc-beat-2026aug_r2,forecasts/2026/2026-07-15_nvda-dc-beat-2026aug_r2.md,ba37e8bc791d85654ed08e3467f359cbcbeda8639d935e0e414a25c2030d3572,2026-07-15T11:12:00+09:00,event_probability,nvda-dc-beat-2026aug,fraction,physical_event,0.2,not_required,auto_validated,False,0.1837903488236441,valid event-state probability; excluded from price paths because no approved surprise-to-index-impact mapping exists
registered:2026-07-08_fomc-2026-10-28-hike_r1,registered_forecast,2026-07-08_fomc-2026-10-28-hike_r1,forecasts/2026/2026-07-08_fomc-2026-10-28-hike_r1.md,81dcd6a50564cec111f889f17c4d322a4ac3d9360b45095731a17ff60e9630c7,2026-07-08T10:09:00+09:00,event_probability,fomc-2026-10-28-hike,fraction,physical_event,0.48,not_required,auto_validated,False,0.17646267906891203,valid event-state probability; excluded from price paths because no approved surprise-to-index-impact mapping exists
market:2026-08-03T09:33:58+00:00:1:fomc-2026-10-28-hike,market_implied,polymarket,data/ml_history/2026.jsonl,abde128f2e6b74f40c0f520201e2a080407daac93b6639ca11e85df03c51f7f3,2026-08-03T09:33:58+00:00,event_probability,fomc-2026-10-28-hike,fraction,reference_only,0.25,reference_only,blocked,False,,event probability has no approved surprise-to-index-impact mapping
market:2026-08-03T09:33:58+00:00:2:nasdaq-eoy-above-jul9-2026,market_implied,options_bl,data/ml_history/2026.jsonl,abde128f2e6b74f40c0f520201e2a080407daac93b6639ca11e85df03c51f7f3,2026-08-03T09:33:58+00:00,terminal_probability,nasdaq-eoy-above-jul9-2026,fraction,risk_neutral_terminal,0.4236,reference_only,blocked,False,,risk-neutral measure has no approved physical-probability calibration
market:2026-08-03T09:33:58+00:00:3:nasdaq-ath-eoy-2026,market_implied,options_bl,data/ml_history/2026.jsonl,abde128f2e6b74f40c0f520201e2a080407daac93b6639ca11e85df03c51f7f3,2026-08-03T09:33:58+00:00,terminal_probability,nasdaq-ath-eoy-2026,fraction,risk_neutral_terminal,0.3298,reference_only,blocked,False,,risk-neutral measure has no approved physical-probability calibration
