scenario,probability_fraction,path_count,weighted_ess,representative_path_id,member_path,terminal,annualized_daily_volatility,maximum_drawdown,underwater_share_below_2pct,weekly_down_count,weekly_direction_changes,date_count
S1,0.6723102818665522,36148,27923.241930546323,39026,True,33180.16,0.1865544516641581,-0.1314426787060331,0.5889328063241107,21,27,253
S2,0.041482422187952936,405,364.2633506439615,33828,True,29474.73,0.18351725547226275,-0.13531496869109627,0.7509881422924901,24,24,253
S3,0.2862072959454953,3447,3187.6014040248238,4550,True,27365.81,0.18163077810722153,-0.16665850151042827,0.8300395256916996,24,25,253
