snapshot_id,event_id,metric,label,value,unit,source_name,source_url,published_on,captured_at,supersedes
gdp_q2_3_20260921,gdp_2026_q2_3,real_gdp_saar,실질 GDP 성장률 · 전기 대비 연율,1.5,percent,Continuum Economics,https://continuumeconomics.com/a/455fa1e9/preview-due-september-30-us-final-third-estimate-q2-gdp-historical-revisions-due,2026-09-18,2026-09-21T08:39:52Z,
nfp_sep_20260921,nfp_2026_10,payroll_change,비농업 일자리 증가,129,thousand_people,Financial Forecast Center,https://www.forecasts.org/jobs-growth-forecast.htm,2026-09-06,2026-09-21T08:39:52Z,
cpi_sep_mom_20260921,cpi_2026_10,headline_cpi_mom,헤드라인 CPI · 전월 대비,0.43,percent,클리블랜드 연방준비은행,https://www.clevelandfed.org/indicators-and-data/inflation-nowcasting,2026-09-18,2026-09-21T08:39:52Z,
cpi_sep_yoy_20260921,cpi_2026_10,headline_cpi_yoy,헤드라인 CPI · 전년 대비,3.50,percent,클리블랜드 연방준비은행,https://www.clevelandfed.org/indicators-and-data/inflation-nowcasting,2026-09-18,2026-09-21T08:39:52Z,
