scenario,path_id,global_path_index,scenario_local_index,path_sha256,selection_score,candidate_count,relaxed_terminal_gate,terminal_return,terminal_percentile,annualized_daily_volatility,annualized_daily_volatility_percentile,annualized_weekly_volatility,annualized_weekly_volatility_percentile,maximum_drawdown,maximum_drawdown_percentile,time_under_water_sessions,time_under_water_percentile,longest_underwater_sessions,longest_underwater_percentile,down_day_fraction,down_week_count,weekly_direction_change_count,weekly_direction_change_percentile,largest_1day_loss,largest_1day_loss_percentile,largest_5day_loss,largest_5day_loss_percentile,max_drawdown_date,recovery_date
S1,legacy-gbm-global-16042,16042,13400,01cd52682193f78bab1a8231f865f5e84ecbc3512a29df38d90ac129033a49d5,0.1601810052965627,3102,false,0.20846743592089467,43.21937492515867,0.18565884263806226,51.739312657166806,0.1906484185783964,59.45096395641241,0.12782340266025316,50.84121662076399,219,47.91342354209077,90,51.1765058076877,0.46825396825396826,21,25,54.24200694527601,0.03304632346345926,62.86372889474314,0.08755281880261201,95.7939168961801,2027-05-20,
S2,legacy-gbm-global-14999,14999,224,7dfa1396e20298a8eb5678da2191fbb33882157429171b2e057919d11968b684,0.4554133000848918,57,false,0.10433265799767533,40.894039735099334,0.18744547806552228,63.079470198675494,0.196254642076704,75.0,0.13369506851772495,56.788079470198674,231,54.80132450331126,100,62.913907284768214,0.5,23,25,53.973509933774835,0.044101572924805765,98.50993377483444,0.07434426242073755,81.29139072847681,2026-10-23,2027-01-06
S3,legacy-gbm-global-13075,13075,1987,3de55c69aff30c228cde1a18192cb2be0355f04b86fce62f27d186e5ddcd3cb1,0.13608666226161842,521,false,0.03234823317376767,50.98464619492656,0.18540651009582398,52.953938584779706,0.21428445350536676,93.84178905206943,0.16224290392267737,48.78170894526035,240,47.46328437917223,199,65.086782376502,0.5079365079365079,24,25,49.365821094793056,0.03737567429667443,84.66288384512683,0.09905204723590622,98.54806408544727,2027-02-22,2027-05-21
